"Status van bewoning","Perioden","Regio's","Totale woningvoorraad (aantal)","Koopwoningen (aantal)","Huurwoningen Totaal huurwoningen (aantal)","Eigendom woningcorporatie (aantal)","Eigendom overige verhuurders (aantal)","Eigendom onbekend (aantal)"
"Totaal","2012","Nederland","7.386.743","4.182.889","3.121.980","2.269.883","852.097","81.874"
"Totaal","2013","Nederland","7.449.298","4.216.760","3.171.057","2.277.246","893.811","61.481"
"Totaal","2014","Nederland","7.535.315","4.238.259","3.217.156","2.275.389","941.767","79.900"
"Totaal","2015","Nederland","7.587.964","4.266.966","3.244.238","2.304.505","939.733","76.760"
"Totaal","2016","Nederland","7.641.323","4.300.406","3.256.930","2.281.742","975.188","83.987"
"Totaal","2017","Nederland","7.686.178","4.321.868","3.283.957","2.273.731","1.010.226","80.353"
"Totaal","2018","Nederland","7.740.984","4.386.769","3.275.965","2.268.383","1.007.582","78.250"
"Totaal","2019","Nederland","7.814.912","4.487.894","3.299.639","2.300.031","999.608","27.379"
"Totaal","2020","Nederland","7.891.786","4.517.921","3.357.721","2.298.885","1.058.836","16.144"
"Totaal","2021","Nederland","7.966.331","4.549.480","3.401.779","2.301.737","1.100.042","15.072"
"Totaal","2022","Nederland","8.045.580","4.597.518","3.434.455","2.305.772","1.128.683","13.607"
"Totaal","2023","Nederland","8.125.229","4.634.411","3.479.588","2.312.981","1.166.607","11.230"
"Totaal","2024","Nederland","8.204.049","4.686.647","3.508.252","2.321.421","1.186.831","9.150"
"Totaal","2025","Nederland","8.274.478","4.754.054","3.512.149","2.331.463","1.180.686","8.275"
"Totaal","2012","Groningen (PV)","265.332","148.239","113.659","80.729","32.930","3.434"
"Totaal","2013","Groningen (PV)","267.466","148.656","116.356","81.662","34.694","2.454"
"Totaal","2014","Groningen (PV)","271.087","148.758","119.653","82.403","37.250","2.676"
"Totaal","2015","Groningen (PV)","272.774","148.949","121.738","85.546","36.192","2.087"
"Totaal","2016","Groningen (PV)","274.719","149.548","122.718","84.886","37.832","2.453"
"Totaal","2017","Groningen (PV)","276.728","150.040","124.247","84.418","39.829","2.441"
"Totaal","2018","Groningen (PV)","277.113","151.975","122.368","82.673","39.695","2.770"
"Totaal","2019","Groningen (PV)","279.662","154.284","124.154","83.606","40.548","1.224"
"Totaal","2020","Groningen (PV)","282.047","154.584","126.577","83.182","43.395","886"
"Totaal","2021","Groningen (PV)","285.012","154.924","129.577","82.335","47.242","511"
"Totaal","2022","Groningen (PV)","287.568","156.070","130.807","82.121","48.686","691"
"Totaal","2023","Groningen (PV)","290.562","157.104","132.971","82.773","50.198","487"
"Totaal","2024","Groningen (PV)","292.812","158.617","133.780","82.555","51.225","415"
"Totaal","2025","Groningen (PV)","294.248","160.526","133.368","82.669","50.699","354"
"Totaal","2012","Fryslân (PV)","287.340","177.956","107.223","81.989","25.234","2.161"
"Totaal","2013","Fryslân (PV)","289.380","179.362","108.550","82.117","26.433","1.468"
"Totaal","2014","Fryslân (PV)","292.180","179.270","110.097","81.917","28.180","2.813"
"Totaal","2015","Fryslân (PV)","294.169","179.774","110.938","82.448","28.490","3.457"
"Totaal","2016","Fryslân (PV)","295.540","180.232","111.384","81.158","30.226","3.924"
"Totaal","2017","Fryslân (PV)","296.463","180.920","111.652","80.717","30.935","3.891"
"Totaal","2018","Fryslân (PV)","298.425","183.424","110.940","80.727","30.213","4.061"
"Totaal","2019","Fryslân (PV)","300.238","187.147","112.051","82.033","30.018","1.040"
"Totaal","2020","Fryslân (PV)","302.578","187.891","114.198","81.764","32.434","489"
"Totaal","2021","Fryslân (PV)","304.693","188.927","115.309","81.582","33.727","457"
"Totaal","2022","Fryslân (PV)","306.633","190.414","115.806","81.393","34.413","413"
"Totaal","2023","Fryslân (PV)","308.768","191.615","116.822","81.268","35.554","331"
"Totaal","2024","Fryslân (PV)","310.787","192.885","117.573","81.325","36.248","329"
"Totaal","2025","Fryslân (PV)","312.294","194.439","117.586","81.292","36.294","269"
"Totaal","2012","Drenthe (PV)","219.432","141.292","74.184","55.065","19.119","3.956"
"Totaal","2013","Drenthe (PV)","214.890","140.359","72.753","53.972","18.781","1.778"
"Totaal","2014","Drenthe (PV)","218.025","141.011","74.462","53.915","20.547","2.552"
"Totaal","2015","Drenthe (PV)","218.383","141.242","74.689","53.918","20.771","2.452"
"Totaal","2016","Drenthe (PV)","218.625","142.054","73.893","53.840","20.053","2.678"
"Totaal","2017","Drenthe (PV)","219.240","142.197","74.289","53.850","20.439","2.754"
"Totaal","2018","Drenthe (PV)","220.818","143.746","74.308","54.001","20.307","2.764"
"Totaal","2019","Drenthe (PV)","222.197","146.740","74.835","55.658","19.177","622"
"Totaal","2020","Drenthe (PV)","223.251","147.267","75.727","55.294","20.433","257"
"Totaal","2021","Drenthe (PV)","224.556","148.079","76.185","55.363","20.822","292"
"Totaal","2022","Drenthe (PV)","226.319","149.684","76.410","55.358","21.052","225"
"Totaal","2023","Drenthe (PV)","227.907","150.708","76.973","55.285","21.688","226"
"Totaal","2024","Drenthe (PV)","229.268","152.072","77.002","55.201","21.801","194"
"Totaal","2025","Drenthe (PV)","230.308","153.409","76.858","55.303","21.555","41"
"Totaal","2012","Overijssel (PV)","482.572","289.489","188.045","139.728","48.317","5.038"
"Totaal","2013","Overijssel (PV)","485.391","291.336","190.267","139.803","50.464","3.788"
"Totaal","2014","Overijssel (PV)","487.577","291.816","190.849","138.616","52.233","4.912"
"Totaal","2015","Overijssel (PV)","490.227","293.657","191.563","141.475","50.088","5.007"
"Totaal","2016","Overijssel (PV)","493.757","295.204","193.294","139.384","53.910","5.259"
"Totaal","2017","Overijssel (PV)","497.361","295.865","196.326","140.491","55.835","5.170"
"Totaal","2018","Overijssel (PV)","499.951","302.439","192.810","139.420","53.390","4.702"
"Totaal","2019","Overijssel (PV)","505.343","308.443","195.612","140.656","54.956","1.288"
"Totaal","2020","Overijssel (PV)","510.296","310.844","198.869","140.851","58.018","583"
"Totaal","2021","Overijssel (PV)","514.993","313.196","201.337","141.108","60.229","460"
"Totaal","2022","Overijssel (PV)","518.558","316.305","201.848","140.803","61.045","405"
"Totaal","2023","Overijssel (PV)","522.916","318.872","203.713","140.898","62.815","331"
"Totaal","2024","Overijssel (PV)","527.085","322.410","204.374","141.046","63.328","301"
"Totaal","2025","Overijssel (PV)","531.840","326.604","205.012","142.159","62.853","224"
"Totaal","2012","Flevoland (PV)","158.061","101.537","55.003","43.040","11.963","1.521"
"Totaal","2013","Flevoland (PV)","159.496","102.522","56.134","42.861","13.273","840"
"Totaal","2014","Flevoland (PV)","161.512","103.306","57.343","43.016","14.327","863"
"Totaal","2015","Flevoland (PV)","162.731","104.143","57.660","43.158","14.502","928"
"Totaal","2016","Flevoland (PV)","162.918","104.778","57.357","43.306","14.051","783"
"Totaal","2017","Flevoland (PV)","164.229","105.313","58.212","43.218","14.994","704"
"Totaal","2018","Flevoland (PV)","166.487","106.430","59.225","43.262","15.963","832"
"Totaal","2019","Flevoland (PV)","169.237","110.598","58.364","44.594","13.770","275"
"Totaal","2020","Flevoland (PV)","172.227","112.198","59.952","45.006","14.946","77"
"Totaal","2021","Flevoland (PV)","174.659","113.347","61.212","45.257","15.955","100"
"Totaal","2022","Flevoland (PV)","178.000","115.429","62.495","46.074","16.421","76"
"Totaal","2023","Flevoland (PV)","181.165","116.844","64.236","46.274","17.962","85"
"Totaal","2024","Flevoland (PV)","184.425","118.533","65.830","46.833","18.997","62"
"Totaal","2025","Flevoland (PV)","187.199","120.220","66.917","47.639","19.278","62"
"Totaal","2012","Gelderland (PV)","845.193","507.201","325.027","237.027","88.000","12.965"
"Totaal","2013","Gelderland (PV)","859.847","512.172","335.863","240.283","95.580","11.812"
"Totaal","2014","Gelderland (PV)","869.410","514.963","341.602","239.009","102.593","12.845"
"Totaal","2015","Gelderland (PV)","877.662","519.076","347.177","245.867","101.310","11.409"
"Totaal","2016","Gelderland (PV)","885.679","524.949","348.599","245.736","102.863","12.131"
"Totaal","2017","Gelderland (PV)","888.062","527.228","349.182","242.281","106.901","11.652"
"Totaal","2018","Gelderland (PV)","893.989","537.999","346.053","244.078","101.975","9.937"
"Totaal","2019","Gelderland (PV)","903.256","550.266","349.417","248.714","100.703","3.573"
"Totaal","2020","Gelderland (PV)","912.372","555.930","354.888","248.696","106.192","1.554"
"Totaal","2021","Gelderland (PV)","922.524","561.826","359.581","249.428","110.153","1.117"
"Totaal","2022","Gelderland (PV)","932.116","568.530","362.869","250.096","112.773","717"
"Totaal","2023","Gelderland (PV)","940.858","573.452","366.808","250.617","116.191","598"
"Totaal","2024","Gelderland (PV)","950.582","579.958","370.183","252.218","117.965","441"
"Totaal","2025","Gelderland (PV)","958.405","587.217","370.755","254.305","116.450","433"
"Totaal","2012","Utrecht (PV)","528.124","303.721","215.302","153.353","61.949","9.101"
"Totaal","2013","Utrecht (PV)","534.592","307.541","221.205","154.208","66.997","5.846"
"Totaal","2014","Utrecht (PV)","539.078","308.395","224.440","153.103","71.337","6.243"
"Totaal","2015","Utrecht (PV)","543.473","310.707","225.860","155.523","70.337","6.906"
