"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2010";"Nederland";7386144;2669516;4716628;836339;3339959;486250;2417798;907781;970519;420530
"Totaal";"2011";"Nederland";7443801;2708251;4735550;864011;3331368;496272;2439795;904504;972431;418820
"Totaal";"2012";"Nederland";7512824;2761764;4751060;872962;3323517;510894;2455421;909274;971486;414879
"Totaal";"2013";"Nederland";7569371;2802182;4767189;892743;3309894;521578;2474729;914480;967899;410081
"Totaal";"2014";"Nederland";7590228;2803852;4786376;916991;3291177;535870;2498744;920496;964012;403124
"Totaal";"2015";"Nederland";7665198;2867797;4797401;934671;3275358;545289;2512123;923286;961010;400982
"Totaal";"2016";"Nederland";7720787;2906334;4814453;954074;3261124;557426;2530437;924877;958746;400393
"Totaal";"2017";"Nederland";7794075;2961228;4832847;975602;3253633;562124;2540703;926964;961007;404173
"Totaal";"2018";"Nederland";7857914;2997617;4860297;997648;3249848;572419;2565256;929901;959802;405338
"Totaal";"2019";"Nederland";7924691;3037622;4887069;1015999;3248353;582106;2586739;932959;960878;406493
"Totaal";"2020";"Nederland";7997800;3079778;4918022;1037200;3250231;589975;2610601;938515;961314;407592
"Totaal";"2021";"Nederland";8043443;3097117;4946326;1077723;3233662;593871;2640717;940588;958249;406772
"Totaal";"2022";"Nederland";8138591;3172564;4966027;1099461;3228333;596408;2661105;942346;956266;406310
"Totaal";"2023";"Nederland";8270244;3266042;5004202;1108952;3242090;610633;2677788;956719;959324;410371
"Totaal";"2024";"Nederland";8374404;3340560;5033844;1120806;3247930;618056;2706372;968419;953582;405471
"Totaal";"2025";"Nederland";8430352;3380900;5049452;1125216;3248868;626593;2714705;974896;954770;405081
"Totaal";"2010";"Groningen (PV)";276945;115236;161709;34305;108672;16276;89313;30114;30758;11524
"Totaal";"2011";"Groningen (PV)";279947;118420;161527;34528;108034;16539;89558;29917;30510;11542
"Totaal";"2012";"Groningen (PV)";283241;122018;161223;34521;107339;17024;89733;29969;30140;11381
"Totaal";"2013";"Groningen (PV)";285911;124778;161133;35301;106327;17244;90245;29810;29907;11171
"Totaal";"2014";"Groningen (PV)";286645;125559;161086;35900;105016;17899;90957;29712;29362;11055
"Totaal";"2015";"Groningen (PV)";289552;129003;160549;36043;104023;18230;90892;29632;29038;10987
"Totaal";"2016";"Groningen (PV)";290294;129969;160325;36917;102785;18523;91408;29415;28714;10788
"Totaal";"2017";"Groningen (PV)";291322;131134;160188;37657;101929;18585;91419;29407;28489;10873
"Totaal";"2018";"Groningen (PV)";292255;132326;159929;38120;101092;18859;91678;29187;28221;10843
"Totaal";"2019";"Groningen (PV)";293740;133537;160203;38839;100410;19128;92400;29104;27886;10813
"Totaal";"2020";"Groningen (PV)";295469;134986;160483;39329;100010;19318;93024;29067;27613;10779
"Totaal";"2021";"Groningen (PV)";296374;135353;161021;40599;99321;19305;94183;28724;27422;10692
"Totaal";"2022";"Groningen (PV)";299201;138299;160902;41022;98812;19291;94147;28707;27298;10750
"Totaal";"2023";"Groningen (PV)";302672;140770;161902;41333;99015;19773;94537;29124;27363;10878
"Totaal";"2024";"Groningen (PV)";308482;146629;161853;41399;98617;19854;94836;29282;27001;10734
