"Woningtype";"Eigendom woning";"Huishoudenskenmerken";"Perioden";"Regio's";"Woningen in voorraad (aantal)"
"Totaal";"Totaal";"1e 20%-groep (laag inkomen)";"2018";"Nederland";1244900
"Totaal";"Totaal";"1e 20%-groep (laag inkomen)";"2019";"Nederland";1264300
"Totaal";"Totaal";"1e 20%-groep (laag inkomen)";"2020";"Nederland";1293200
"Totaal";"Totaal";"1e 20%-groep (laag inkomen)";"2021";"Nederland";1299600
"Totaal";"Totaal";"1e 20%-groep (laag inkomen)";"2022";"Nederland";1295600
"Totaal";"Totaal";"1e 20%-groep (laag inkomen)";"2023*";"Nederland";1290700
"Totaal";"Totaal";"2e 20%-groep";"2018";"Nederland";1434300
"Totaal";"Totaal";"2e 20%-groep";"2019";"Nederland";1446100
"Totaal";"Totaal";"2e 20%-groep";"2020";"Nederland";1459800
"Totaal";"Totaal";"2e 20%-groep";"2021";"Nederland";1477800
"Totaal";"Totaal";"2e 20%-groep";"2022";"Nederland";1482700
"Totaal";"Totaal";"2e 20%-groep";"2023*";"Nederland";1491900
"Totaal";"Totaal";"3e 20%-groep";"2018";"Nederland";1459600
"Totaal";"Totaal";"3e 20%-groep";"2019";"Nederland";1470400
"Totaal";"Totaal";"3e 20%-groep";"2020";"Nederland";1485000
"Totaal";"Totaal";"3e 20%-groep";"2021";"Nederland";1502500
"Totaal";"Totaal";"3e 20%-groep";"2022";"Nederland";1511000
"Totaal";"Totaal";"3e 20%-groep";"2023*";"Nederland";1526100
"Totaal";"Totaal";"4e 20%-groep";"2018";"Nederland";1493800
"Totaal";"Totaal";"4e 20%-groep";"2019";"Nederland";1506400
"Totaal";"Totaal";"4e 20%-groep";"2020";"Nederland";1519700
"Totaal";"Totaal";"4e 20%-groep";"2021";"Nederland";1538100
"Totaal";"Totaal";"4e 20%-groep";"2022";"Nederland";1557300
"Totaal";"Totaal";"4e 20%-groep";"2023*";"Nederland";1579900
"Totaal";"Totaal";"5e 20%-groep (hoog inkomen)";"2018";"Nederland";1501200
"Totaal";"Totaal";"5e 20%-groep (hoog inkomen)";"2019";"Nederland";1514900
"Totaal";"Totaal";"5e 20%-groep (hoog inkomen)";"2020";"Nederland";1526900
"Totaal";"Totaal";"5e 20%-groep (hoog inkomen)";"2021";"Nederland";1545400
"Totaal";"Totaal";"5e 20%-groep (hoog inkomen)";"2022";"Nederland";1566300
"Totaal";"Totaal";"5e 20%-groep (hoog inkomen)";"2023*";"Nederland";1590400
"Totaal";"Totaal";"Inkomen onbekend";"2018";"Nederland";30385
"Totaal";"Totaal";"Inkomen onbekend";"2019";"Nederland";33080
"Totaal";"Totaal";"Inkomen onbekend";"2020";"Nederland";31995
"Totaal";"Totaal";"Inkomen onbekend";"2021";"Nederland";35390
"Totaal";"Totaal";"Inkomen onbekend";"2022";"Nederland";37990
"Totaal";"Totaal";"Inkomen onbekend";"2023*";"Nederland";42240
"Eengezinswoningen";"Totaal";"1e 20%-groep (laag inkomen)";"2018";"Nederland";525000
"Eengezinswoningen";"Totaal";"1e 20%-groep (laag inkomen)";"2019";"Nederland";531000
"Eengezinswoningen";"Totaal";"1e 20%-groep (laag inkomen)";"2020";"Nederland";541000
"Eengezinswoningen";"Totaal";"1e 20%-groep (laag inkomen)";"2021";"Nederland";544000
"Eengezinswoningen";"Totaal";"1e 20%-groep (laag inkomen)";"2022";"Nederland";540200
"Eengezinswoningen";"Totaal";"1e 20%-groep (laag inkomen)";"2023*";"Nederland";534700
"Eengezinswoningen";"Totaal";"2e 20%-groep";"2018";"Nederland";809900
"Eengezinswoningen";"Totaal";"2e 20%-groep";"2019";"Nederland";816300
"Eengezinswoningen";"Totaal";"2e 20%-groep";"2020";"Nederland";827600
